Country,Country Code,Flag_image_url,Quarantine,PetMicrochip,MicrochipRequirement,TattooAccepted,DogVaccinations,RabiesMinDays,RabiesMaxMonths,CatVaccinations,RabiesTiterTest,TicksAndTapewormTreatment,HealthCertificate,ImportPermit,USDA Certificate (Generic Form),pdf,USDA Accredited Veterinarian Signature,USDA APHIS Veterinary Medical Officer Signature
French Polynesia,PF,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/1200px-Flag_of_French_Polynesia.svg.png,0,Yes,15 digit ISO 11784/11785,,"Rabies,Parvovirus,Distemper,Hepatitis,Leptospirosis",30,6,"Rabies,Feline Panleukopenia,Calicivirus,Feline Viral Rhinotracheitis",Yes,,,Yes,checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Not Accepted
Panama,PA,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,120,No,,,"Rabies,Distemper,Hepatitis,Leptospirosis,Parvovirus",30,,"Rabies,Feline Viral Rhinotracheitis,Calicivirus,Panlieukopenia",No,Yes,Yes (USDA or CFIA),,checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Accepted
Namibia,NA,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,0,No,,,Rabies,90,12,Rabies,No,No,Yes (USDA or CFIA),Yes,checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Accepted
Senegal,SN,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,0,Yes,15 digit ISO 11784/11785,,Rabies,21,12,Rabies,No,No,Yes (USDA or CFIA),Yes,checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Accepted
"Bonaire, Sint Eustatius and Saba",BQ,https://iconape.com/wp-content/png_logo_vector/flag-of-bonaire-sint-eustatius-and-saba.png,0,Yes,15 digit ISO 11784/11785,,"Rabies,Distemper",30,12,Rabies,No,No,Yes (USDA or CFIA),No (personal pet),checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Not Accepted
Bolivia (Plurinational State of),BO,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,0,No,,,"Rabies,Distemper,Hepatitis,Leptospirosis,Parvovirus",30,12,"Rabies,Feline Viral Rhinotracheitis,Panlieukopenia,Feline Leukemia",No,Yes,Yes (USDA or CFIA),No (personal pet),checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Accepted
Malta,MT,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,0,Yes,15 digit ISO 11784/11785,checked,Rabies,21,,Rabies,Yes,Yes,Yes (USDA or CFIA),,checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Not Accepted
Uzbekistan,UZ,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,0,No,,,Rabies,30,12,Rabies,No,,Yes (USDA or CFIA),No (personal pet),checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,Digital Endorsement Not Accepted
Denmark,DK,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,0,Yes,15 digit ISO 11784/11785,checked,"Rabies,Distemper",21,,Rabies,Yes,,Yes (USDA or CFIA),,checked,https://www.aphis.usda.gov/library/forms/pdf/APHIS7001.pdf,Electronic Signature Accepted,
Saint Kitts and Nevis,KN,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,30,Yes,15 digit ISO 11784/11785,,Rabies,30,,Rabies,Yes,Yes,Yes (USDA or CFIA),Yes,,https://www.aphis.usda.gov/pet-travel/health-certificates/non-eu/st-kitts-nevis-dog-cat-protocol.pdf,,
